zip,tract
850,78010970800
850,78010970900
901,72127980200
901,72127000400
901,72127009400
901,72127000506
901,72127000700
901,72127000600
901,72127980107
902,72127000600
907,72127003902
907,72127009000
907,72127004200
907,72127000900
907,72127009601
907,72127006101
907,72127000700
907,72127002200
907,72127004600
907,72127980000
907,72127002100
907,72127004400
907,72127001900
907,72127002002
907,72127001800
907,72127006102
907,72127001000
907,72127009800
908,72127001900
909,72127007004
909,72127002100
909,72127002400
909,72127003902
909,72127001600
909,72127007100
909,72127009602
909,72127002300
909,72033020200
909,72127002200
909,72127007300
909,72127009601
910,72127002300
911,72127001301
911,72127001100
911,72127001000
911,72127001200
911,72127001400
911,72127009800
911,72127001600
911,72127001500
912,72127003902
912,72127002800
912,72127002600
912,72127003100
912,72127002500
912,72127001600
912,72127002400
913,72127001301
913,72127001302
913,72127001200
914,72127001100
915,72127002400
915,72127003000
915,72127003200
915,72127003400
915,72127002900
915,72127000506
915,72127002800
915,72127005500
915,72127003100
915,72127003800
915,72127003501
915,72127002100
915,72127003300
915,72127003700
915,72127004600
915,72127003502
915,72127003902
915,72127003600
916,72127003200
917,72127006102
917,72127006000
917,72127001900
917,72127004500
917,72127003800
917,72127005102
917,72127003700
917,72127006200
917,72127006101
917,72127006300
917,72127001400
917,72061040302
917,72127007100
917,72127005500
917,72127009903
917,72127004400
917,72127010002
917,72127009624
917,72127009602
917,72127004600
918,72127980101
918,72127006700
918,72127006800
918,72127980103
918,72127008601
918,72127010500
918,72127001900
918,72127006500
918,72127006600
919,72127010500
920,72127006900
920,72127007100
920,72127007900
920,72127010002
920,72127006600
920,72127007500
920,72127009602
920,72061040302
920,72127007400
920,72127003700
920,72127007004
920,72127007300
921,72021031114
921,72127008400
921,72127007600
921,72127005403
921,72127010001
921,72127008100
921,72127007700
921,72127009902
921,72031050402
921,72127008500
921,72127005601
921,72127008300
921,72127010032
921,72127008002
921,72127005401
921,72127009800
921,72127008001
921,72127009300
921,72127009121
921,72127008202
921,72127008201
921,72127007800
922,72061040302
923,72127010022
923,72127005800
923,72127008900
923,72127006000
923,72127005601
923,72127009121
923,72127005900
923,72127009111
923,72127004900
923,72127004600
923,72127004800
923,72127009000
923,72127004700
923,72127005602
924,72127005101
924,72021031114
924,72127005103
924,72127004600
924,72127005201
924,72127005601
924,72127009111
924,72127004500
924,72127009300
924,72127005300
924,72127008500
924,72031050402
924,72127005500
924,72127009903
924,72127005402
924,72127005215
924,72127005000
924,72127005401
924,72127005214
924,72127009602
924,72127003800
924,72127008603
924,72127010001
924,72127009121
924,72127005403
924,72127005602
924,72031050401
924,72127005202
924,72127005204
924,72127003200
924,72127006000
924,72127005102
924,72127008602
924,72031050321
925,72127008603
925,72127008900
925,72127008700
925,72127009300
925,72127001800
925,72127005800
925,72127002100
925,72127006600
926,72127009602
926,72127005403
926,72127010100
926,72127009903
926,72127010001
926,72127004500
926,72127009121
926,72127010012
926,72127004400
926,72021031201
926,72127008900
926,72021031306
926,72127003902
926,72031050402
926,72033020500
926,72127009300
926,72061040442
926,72033020200
926,72127000506
926,72127010032
926,72127010200
926,72021031023
926,72127004600
926,72021031503
926,72139060302
926,72127009800
926,72127009122
926,72127009904
926,72127009400
926,72127010042
926,72127009111
926,72021031701
926,72127005102
926,72127980000
926,72127005601
926,72127009112
926,72127009902
926,72127000400
926,72127009603
926,72127009123
926,72025200100
926,72127001302
926,72127006600
926,72127008001
926,72127005103
926,72127009614
926,72127010002
926,72127005401
926,72127010022
926,72127009624
926,72139060222
926,72021031203
926,72139060213
926,72127005602
926,72127005214
926,72021031307
926,72127009601
926,72031050503
926,72127005500
926,72127008603
926,72139060212
927,72127009800
927,72127008603
927,72127980000
927,72127004500
927,72127009601
927,72127008900
927,72127009121
927,72127008100
927,72127010002
927,72127008601
927,72127008602
927,72127010012
927,72127006700
928,72127009300
929,72127005214
931,72127009300
934,72061040200
934,72021030101
935,72127008400
936,72127980103
937,72031980003
940,72127002300
949,72137121200
949,72137122201
949,72137121100
949,72137121801
949,72137122001
949,72051540400
949,72135510300
949,72135510200
949,72137121802
949,72137121900
949,72137121001
949,72137120700
949,72137120600
949,72137120900
949,72137121002
949,72137122400
949,72137120300
949,72137120200
949,72137120400
949,72137120500
949,72137122002
949,72137120800
949,72137122202
949,72137121400
950,72137121802
951,72137121802
952,72137121200
952,72137121400
952,72137121001
952,72137121300
952,72137121100
953,72135510701
953,72135510601
953,72135510102
953,72135510504
953,72135510505
953,72021031021
953,72135510400
953,72021031307
